"","obs","pred"
"1",800,824.579
"2",3250,3308.04
"3",6815,7003.14
"4",12170,12903.3
"5",17430,19377.4
"6",10040,10577.9
"7",6000,6151.89
"8",5010,5099.83
"9",3630,3664.52
"10",2245,2259.03
"11",3875,3909.45
"12",3880,3917.02
"13",2820,2839.04
"14",2550,2565.48
"15",2520,2533.19
"16",2275,2284.5
"17",622,634.019
"18",554,555.307
"19",670,671.501
"20",810,811.644
"21",1477,1478.45
"22",3920,3916.89
"23",3618,3615.58
"24",1002,1003.08
"25",185,186.019
"26",248,249.255
"27",483,484.772
"28",1107,1108.74
"29",1527,1528.06
"30",1716,1716.71
"31",4528,4511.42
"32",7770,7719.18
"33",4820,4800.22
"34",5966,5934.01
"35",5635,5606.63
"36",3340,3334.11
"37",2935,2931.24
"38",3055,3050.37
"39",5409,5386.58
"40",3333,3326.94
"41",3133,3128.24
"42",3339,3332.53
"43",5256,5226.84
"44",4811,4788.51
"45",4522,4506.83
"46",4958,4940.01
"47",4187,4178.87
"48",4052,4044.84
"49",3952,3939.74
"50",3902,3889.63
"51",3444,3435.9
"52",5077,5053.78
"53",4879,4861.15
"54",4278,4264.41
"55",3945,3935.29
"56",3434,3426.88
"57",1835,1835.81
"58",2359,2358.17
"59",2748,2747.87
"60",2617,2616.95
