"Length","Wbar","SD_Wbar"
110,19,4.24264068711928
120,23.6666666666667,3.66969571853944
130,33.5,4.50396650583841
140,36,2.82842712474619
150,45,10.2567051239665
160,56.1538461538462,7.19775606058529
170,70.0625,13.5472937026798
180,88.5882352941177,12.7821106606529
190,105.375,10.5316981853197
200,120.111111111111,11.0766786744726
210,144.526315789474,15.9142438681433
220,158.558823529412,19.0965508173447
230,182.125,15.0630919512043
240,206.761904761905,22.6293674117091
250,235.338709677419,25.8253551534064
260,267.893939393939,28.3408532458704
270,302.287878787879,28.9911207369615
280,337.371794871795,30.2320501533862
290,371.704347826087,37.1861070815158
300,414.530434782609,40.1452017493189
310,450.453947368421,34.8479837446883
320,497.160621761658,38.6920279206376
330,538.799145299145,42.2636096793567
340,592.43771043771,46.2754348484795
350,646.993730407523,53.1179412613012
360,705.63612565445,62.3970106093356
370,762.57729468599,70.7895121329046
380,830.186788154897,80.9374114603814
390,890.20366598778,87.1591745074425
400,958.870333988212,93.3167225779148
410,1036.95884773663,104.415438848907
420,1110.57075471698,110.439995553553
430,1190.09556313993,131.492034815699
440,1270.87894736842,149.613792332221
450,1383.61061946903,168.812365916185
460,1419.81666666667,181.169598570863
470,1516.77777777778,192.144723506116
480,1583.6,144.757728636505
