year,species,vessel,conf,weight,count
2022,Squid,1,1,0.005443108,
2022,State-managed Rockfish,1,1,0.010192282,
2022,Giant Grenadier,1,1,0.056112845,
2022,Misc fish,1,1,0.205727258,
2022,Misc fish,1,1,0.132324188,
2022,Sculpin,1,1,0.008593405,
2022,Sea star,1,1,0.007858867,
2022,Squid,1,1,0.212770289,
2022,Squid,1,1,0.07847148,
2022,Squid,1,1,0.039008944,
2022,urchins dollars cucumbers,1,1,0.010479694,
2022,Giant Grenadier,1,1,4.683286183,
2022,Giant Grenadier,1,1,2.823341889,
2022,Giant Grenadier,1,1,6.028252684,
2022,Greenlings,1,1,0.006580616,
2022,Grenadier - Rattail Grenadier Unidentified,1,1,0.061591742,
2022,Invertebrate unidentified,1,1,0.000682632,
2022,Invertebrate unidentified,1,1,0.009099947,
2022,Misc crabs,1,1,0.041335041,
2022,Misc crabs,1,1,0.004551104,
2022,Misc crabs,1,1,0.016004292,
2022,Misc fish,1,1,0.332400334,
2022,Misc fish,1,1,0.405022112,
2022,Misc fish,1,1,0.145653582,
2022,Misc fish,1,1,3.948333869,
2022,Pandalid shrimp,1,1,0.007187932,
2022,Sculpin,1,1,0.033112243,
2022,Scypho jellies,1,1,0.000256582,
2022,Sea anemone unidentified,1,1,0.007273459,
2022,Sea anemone unidentified,1,1,0.020958002,
2022,Sea star,1,1,0.008992449,
2022,Sea star,1,1,0.00536849,
2022,Snails,1,1,0.005286099,
2022,Snails,1,1,0.000111618,
2022,Sponge unidentified,1,1,0.000108896,
2022,Squid,1,1,1.29935,
2022,Squid,1,1,0.026706622,
2022,Squid,1,1,0.014135897,
2022,Squid,1,1,0.021772434,
2022,Squid,1,1,0.011793402,
2022,Squid,1,1,0.08618255,
2022,Squid,1,1,0.253558135,
2022,Squid,1,1,0.009283285,
2022,Squid,1,1,0.061688562,
2022,urchins dollars cucumbers,1,1,0.001114125,
2022,Brittle star unidentified,1,1,5.80871E-05,
2022,Corals Bryozoans - Corals Bryozoans Unidentified,1,1,0.000192517,
2022,Giant Grenadier,1,1,9.280432558,
2022,Giant Grenadier,1,1,6.093984666,
2022,Giant Grenadier,1,1,0.298841368,
2022,Greenlings,1,1,0.000630573,
2022,Greenlings,1,1,0.020745274,
2022,Greenlings,1,1,0.103984129,
2022,Grenadier - Rattail Grenadier Unidentified,1,1,0.005878554,
2022,Grenadier - Rattail Grenadier Unidentified,1,1,1.11370579,
2022,Grenadier - Rattail Grenadier Unidentified,1,1,0.066678078,
2022,Invertebrate unidentified,1,1,6.54113E-05,
2022,Invertebrate unidentified,1,1,0.000662088,
2022,Misc crabs,1,1,0.000134671,
2022,Misc fish,1,1,0.038054575,
2022,Misc fish,1,1,2.19992934,
2022,Misc fish,1,1,0.243219162,
2022,Misc fish,1,1,0.286161726,
2022,Misc fish,1,1,1.021866425,
2022,Other osmerids,1,1,6.8697E-06,
2022,Pandalid shrimp,1,1,3.4785E-06,
2022,Sculpin,1,1,0.000336445,
2022,Scypho jellies,1,1,2.45862E-05,
2022,Scypho jellies,1,1,0.004692609,
2022,Sea anemone unidentified,1,1,0.032992166,
2022,Sea anemone unidentified,1,1,0.000765571,
2022,Sea anemone unidentified,1,1,0.039395474,
2022,Sea star,1,1,0.001879043,
2022,Sea star,1,1,0.036247122,
2022,Sea star,1,1,0.000658823,
2022,Sea star,1,1,0.000523945,
2022,Sea star,1,1,0.102811351,
2022,Sea star,1,1,0.000127913,
2022,Sea star,1,1,0.002651261,
2022,Snails,1,1,1.06952E-05,
2022,Snails,1,1,0.002041349,
2022,Sponge unidentified,1,1,1.04345E-05,
2022,Sponge unidentified,1,1,3.04349E-05,
2022,Squid,1,1,0.049895161,
2022,Squid,1,1,0.055658507,
2022,Squid,1,1,0.549753952,
2022,Squid,1,1,0.001130719,
2022,Squid,1,1,0.51996,
2022,Squid,1,1,0.020642596,
2022,Squid,1,1,0.218631522,
2022,Squid,1,1,0.152192352,
2022,Squid,1,1,0.120201978,
2022,Squid,1,1,0.073481964,
2022,Squid,1,1,0.245393472,
2022,Squid,1,1,0.13970645,
2022,Squid,1,1,0.124284309,
2022,Squid,1,1,0.006117056,
2022,Brittle star unidentified,1,1,0.000194722,
2022,Brittle star unidentified,1,1,7.54811E-05,
2022,Brittle star unidentified,1,1,3.10211E-05,
2022,Brittle star unidentified,1,1,9.51173E-05,
2022,Corals Bryozoans - Corals Bryozoans Unidentified,1,1,0.003437943,
2022,Corals Bryozoans - Corals Bryozoans Unidentified,1,1,0.000937345,
2022,Giant Grenadier,1,1,0.12666,
2022,Giant Grenadier,1,1,0.699335746,
2022,Giant Grenadier,1,1,8.757263374,
2022,Giant Grenadier,1,1,10.53686277,
2022,Giant Grenadier,1,1,2.387642026,
2022,Giant Grenadier,1,1,0.940543924,
2022,Greenlings,1,1,0.011260671,
2022,Greenlings,1,1,0.003070189,
