length,Wbar,SD_Wbar
110,19,4.242640687119285
120,23.666666666666668,3.669695718539436
130,33.5,4.503966505838413
140,36,2.8284271247461903
150,45,10.256705123966467
160,56.142857142857146,6.915502572060531
170,70.0625,13.54729370267976
180,88.58823529411765,12.782110660652897
190,103.22222222222223,11.889469169150614
200,120.11111111111111,11.076678674472612
210,144.52631578947367,15.914243868143307
220,158.4857142857143,18.81859441611725
230,182.125,15.063091951204267
240,206.0681818181818,22.329871251436007
250,235.33870967741936,25.82535515340645
260,268.089552238806,28.170870052120183
270,302.44776119402985,28.800401713365016
280,337.37179487179486,30.232050153386165
290,371.5603448275862,37.05654640120161
300,414.5798319327731,39.56982581748056
310,449.30379746835445,35.10851401281489
320,496.75126903553297,38.47373953212001
330,540.375,43.410478749628716
340,592.7549668874173,46.4250858535612
350,644.8168168168169,53.56489774618931
360,704.6539440203562,62.26037607947837
370,762.716894977169,70.19109084034359
380,830.305376344086,79.71596447753959
390,889.950184501845,85.42136134532095
400,957.4428822495606,91.0054207648062
410,1035.8877192982457,101.00191243935002
420,1110.8418972332015,105.50695488106254
430,1187.058495821727,126.0565601038564
440,1256.3275109170306,143.15214634432772
450,1377.6,165.77627753556413
460,1421.9384615384615,178.04747233208943
470,1489.3181818181818,183.92658638024352
480,1583.6,144.75772863650494
