survey,year,regulatory_area_name,species_code,haul_count,catch_count,mean_wgt_cpue,var_wgt_cpue,mean_num_cpue,var_num_cpue,area_biomass,biomass_var,min_biomass,max_biomass,area_pop,pop_var,min_pop,max_pop,akfin_load_date
GOA,1993,WESTERN GOA,30420,170,40,236.7136792807653,16621.15551802254,365.0197359895301,39220.41396489523,14507.7,62426420.25847962,0,31045,22370124,147305645641139.13,0,47772768,2023-09-14T19:00:20Z
GOA,1990,CENTRAL GOA,30420,371,84,463.54485575589916,71465.65876245264,685.4421380218143,113799.102484475,73835.9,1813184496.5157087,0,165812,109179197,2887243634430201.5,0,225242645,2023-09-14T19:00:20Z
GOA,1993,EASTERN GOA,30420,192,4,0.5527294251617244,0.08822441124431932,0.8064768147360998,0.17830478514191703,40.7,471.3646436408427,0,87,59167,952645308.9624717,0,124601,2023-09-14T19:00:20Z
GOA,2013,EASTERN GOA,30420,99,3,0.9168708061092594,0.3237419373996121,1.1153374055674778,0.462058664406389,75.6,2184.4633647699916,0,175,91278,3117761736.0225205,0,210266,2023-09-14T19:00:20Z
GOA,1987,WESTERN GOA,30420,177,77,690.4615341592161,61094.56915494673,1401.586408607957,215865.3102887465,45037.8,259936509.38392735,12019,78057,91421959,918433111644128.9,29355964,153487954,2023-09-14T19:00:20Z
GOA,1990,WESTERN GOA,30420,135,35,536.8118994921393,68005.92686548218,700.1613021543081,164345.33119710177,32897.7,255419460.21554956,0,66236,42908205,617254961708576.4,0,94734075,2023-09-14T19:00:20Z
GOA,2009,EASTERN GOA,30420,157,4,0.8239591965005795,0.1968432407969793,1.1692174457774005,0.38050929837049,70.2,1430.1409631999447,0,150,99572,2764544681.7214704,0,210040,2023-09-14T19:00:20Z
GOA,2013,WESTERN GOA,30420,136,21,678.3832204888944,201283.67724247836,708.7979878835253,244675.94550585237,42935.9,806280022.8459073,0,101089,44859200,980096000008239.9,0,108974881,2023-09-14T19:00:20Z
GOA,1990,EASTERN GOA,30420,202,11,4.67357553865753,7.8950059956066125,6.373843221263374,13.955241503477506,342.6,42181.37174478505,0,772,466594,74559947132.91016,0,1038102,2023-09-14T19:00:20Z
GOA,1999,CENTRAL GOA,30420,414,81,1159.6655310893154,738983.4430053956,1508.7052798591608,1290346.2807800442,196611.4,21241579481.03196,0,517396,255788086,37090131505210416,0,679674238,2023-09-14T19:00:20Z
GOA,2013,CENTRAL GOA,30420,313,62,2009.06965574035,1801882.5783311035,2142.4383751582336,2137221.3340607346,327442.6,47863702920.72427,0,781188,349178800,56771361374758696,0,843345420,2023-09-14T19:00:20Z
GOA,1999,WESTERN GOA,30420,147,33,696.8998724637727,93901.88491340645,733.3618025649547,102711.46942909979,45457.1,399520424.2632068,4642,86273,47835382,437002195225930.8,5148194,90522570,2023-09-14T19:00:20Z
GOA,2003,CENTRAL GOA,30420,420,80,350.70503157224056,37901.52880135221,411.4207712002824,46995.73432738713,57159.1,1006784535.5769054,0,121951,67053858,1248355410856304.3,0,139201952,2023-09-14T19:00:20Z
GOA,2003,EASTERN GOA,30420,159,1,0.0621551156554273,0.003991062804463845,0.095822469968783755,0.009162219477648862,5.2,26.92987678048625,0,17,7863,61822490.31332932,0,25169,2023-09-14T19:00:20Z
GOA,2003,WESTERN GOA,30420,230,45,144.50785841058251,3586.4266414491753,207.68994872549715,6147.152186346912,9145.6,14366113.507154085,1565,16726,13144812,24623586339166.344,3220380,23069244,2023-09-14T19:00:20Z
GOA,1996,EASTERN GOA,30420,214,12,2.4132458823486127,0.659618019544376,3.72426176119663,1.758856070949861,191.9,4183.723195499788,50,334,296232,11155800362.551352,63760,528704,2023-09-14T19:00:20Z
GOA,1996,WESTERN GOA,30420,200,51,458.73769045264936,35558.00213423387,509.0462934224698,47394.615199715045,28114,133550208.49041964,4759,51469,31197749,178006647205617.28,4233742,58161756,2023-09-14T19:00:20Z
GOA,2011,CENTRAL GOA,30420,383,56,776.3487712632095,135933.35438385987,709.1478971684362,105073.28971049254,126531.6,3610820022.0641937,3647,249416,115577408,2791079054809571,7538700,223616116,2023-09-14T19:00:20Z
GOA,2009,CENTRAL GOA,30420,470,88,266.2041540469697,14029.627110714693,272.2686759557074,12952.722735471529,45133,403272146.59843343,4970,85296,46159883,372317258370942.06,7568834,84750932,2023-09-14T19:00:20Z
GOA,1993,CENTRAL GOA,30420,412,104,567.8115867418315,51070.12371300473,829.8291156924541,110166.71623167896,90443.7,1295721023.9865632,18451,162436,132177148,2795084875202659,26440023,237914273,2023-09-14T19:00:20Z
GOA,2005,WESTERN GOA,30420,180,45,3543.1227785996757,3336232.9524136647,3625.415640417472,2825991.4499441693,231110.7,14194530874.628906,0,471894,236479079,12023627684226550,14871773,458086385,2023-09-14T19:00:20Z
GOA,1999,EASTERN GOA,30420,203,5,1.3883479465344701,0.4176872481663697,2.2780676568219937,1.2498076977249377,118.2,3034.6566180806003,6,231,194375,9080327967.585855,0,388959,2023-09-14T19:00:20Z
GOA,2009,WESTERN GOA,30420,196,40,685.1712377085081,101351.47601117559,703.3855527067847,108491.45423130636,44692.7,431215888.08390385,3161,86224,45880333,461594054937181.06,2910853,88849813,2023-09-14T19:00:20Z
GOA,2001,WESTERN GOA,30420,139,17,1522.253684542745,589211.9179487412,2158.469274463254,1378546.3796654514,93291.2,2212986381.800549,0,192127,132281291,5177601253383830,0,283459903,2023-09-14T19:00:20Z
GOA,2019,WESTERN GOA,30420,123,26,585.9907802212593,63610.34991949168,678.0279133363431,92123.26251168516,37087.7,254803345.65102175,4061,70114,42912508,369017235873936.94,3167388,82657628,2023-09-14T19:00:20Z
GOA,2001,CENTRAL GOA,30420,350,90,1571.5451326467692,1576847.787886516,2008.6726963232156,2372529.8774909885,250322.3,40006851008.88027,0,665158,319949554,60194427167963310,0,828796175,2023-09-14T19:00:20Z
GOA,1987,CENTRAL GOA,30420,446,121,536.034427145102,44266.57905659764,842.3921077045255,82722.25758982734,90878.5,1272412888.6568818,18788,162969,142820877,2377795370216281.5,44271575,241370179,2023-09-14T19:00:20Z
GOA,2005,EASTERN GOA,30420,187,6,1.8846593175826907,1.238405698930728,3.1286287844817613,3.676190787510954,160,8997.488112521823,0,369,266687,26708923366.996098,0,626393,2023-09-14T19:00:20Z
GOA,1987,EASTERN GOA,30420,160,4,6.090443136161215,35.42626917935049,9.980740454231995,92.54215707360596,500.4,239040.35354322355,0,1537,819903,624432390341.0499,0,2495149,2023-09-14T19:00:20Z
GOA,2005,CENTRAL GOA,30420,470,96,753.37707965927,116326.0342752336,959.0754507832598,221870.71385444445,127727.9,3343713213.2777452,10864,244592,162602517,6377523674529838,1206671,323998363,2023-09-14T19:00:20Z
GOA,2007,WESTERN GOA,30420,205,43,1751.1109220553874,746039.9752336175,1958.5573476628601,1016969.0939895302,114221.9,3174145095.1438046,360,228084,127751999,4326855890783704,0,260691036,2023-09-14T19:00:20Z
GOA,2007,EASTERN GOA,30420,141,3,0.4390659728271925,0.07276673667278576,0.7837821723822718,0.23999702252888683,37.6,528.6780000816342,0,86,66891,1743669589.94839,0,155416,2023-09-14T19:00:20Z
GOA,2015,CENTRAL GOA,30420,434,65,255.04748355227292,9458.196033142793,263.63326907296465,9733.322810084044,43241.5,271869450.7797206,9523,76960,44696946,279777783984034.47,10491132,78902760,2023-09-14T19:00:20Z
GOA,2015,EASTERN GOA,30420,148,1,0.14635725301109437,0.02090890356588027,0.15349663120675752,0.023663313225305873,12.3,151.91113174164755,0,40,13112,171922964.85021225,0,42771,2023-09-14T19:00:20Z
GOA,2007,CENTRAL GOA,30420,470,93,630.9147071899106,138444.52073371666,776.1943616091754,237149.48169227995,106966.9,3979494153.3719153,0,235783,131595302,6816701526850472,0,300189598,2023-09-14T19:00:20Z
GOA,1996,CENTRAL GOA,30420,393,72,443.6079235276616,22615.226584851982,574.507634903037,39583.55874791542,70659.3,573780175.5265907,22752,118567,91509282,1004290680048239.5,28128191,154890373,2023-09-14T19:00:20Z
GOA,2017,EASTERN GOA,30420,115,1,0.23250270870676798,0.054037365810806634,0.5276023005268966,0.27411211453416234,19.1,364.61956980468415,0,64,43007,1849583890.3329892,0,144718,2023-09-14T19:00:20Z
GOA,2015,WESTERN GOA,30420,189,29,87.07623356755525,1565.1043556714922,94.95094613501945,1642.4568380225473,5679.6,6658984.074395231,519,10841,6192333,6988092447408.237,905333,11479333,2023-09-14T19:00:20Z
GOA,2023,EASTERN GOA,30420,104,1,0.33402668062014396,0.11255361977381212,0.5010400209302159,0.2537528965312432,27.6,759.4606399870097,0,98,41379,1712209146.0537333,0,147764,2023-09-14T19:00:20Z
GOA,1984,CENTRAL GOA,30420,485,85,68.48721085657895,458.64051586598106,131.88103093760913,1946.5470657328342,11612.5,13183311.565638969,4351,18874,22359906,55952179445557.15,7399668,37320144,2023-09-14T19:00:20Z
GOA,2023,CENTRAL GOA,30420,304,31,157.91896917292107,10451.871278650518,162.8652111742972,12558.286000981396,25738.5,277634773.6878186,0,62412,26545315,333587813974641.75,0,66745230,2023-09-14T19:00:20Z
GOA,2019,CENTRAL GOA,30420,297,48,304.55242274645406,25902.01997346708,373.12569120260065,42713.52352785157,49637.3,688039611.4406976,0,106794,60812831,1134606341955975,0,134210089,2023-09-14T19:00:20Z
GOA,1984,WESTERN GOA,30420,242,71,424.9015166645124,26952.63910949381,758.1609295376334,66283.23103921692,27716.1,114674266.89004292,6074,49358,49453067,282012492195918.75,15513954,83392180,2023-09-14T19:00:20Z
GOA,2021,EASTERN GOA,30420,123,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-09-14T19:00:20Z
GOA,2011,EASTERN GOA,30420,124,2,0.3365820714381305,0.059494550479508926,0.5940534742377429,0.19505079159372982,28,401.442170173724,0,73,48393,1316114038.0152674,0,129221,2023-09-14T19:00:20Z
GOA,2023,WESTERN GOA,30420,118,20,94.67089326219957,3256.4001719363537,89.85249593379078,2462.5717154499785,5992.1,13044129.762501014,0,13403,5686895,9864299014175.973,0,12131710,2023-09-14T19:00:20Z
GOA,2011,WESTERN GOA,30420,163,31,743.9063329451815,223159.49725870913,664.2546210845696,174146.89605252608,47082.2,893907777.3866378,0,107507,42041406,697578488486311.25,0,95419474,2023-09-14T19:00:20Z
GOA,1984,EASTERN GOA,30420,202,1,0.06589231682762998,0.004370644897196412,0.03569167161496624,0.001328222880352499,5.1,26.240706808905877,0,16,2824,7974454.113755039,0,8811,2023-09-14T19:00:20Z
GOA,2017,WESTERN GOA,30420,125,28,607.1531497963178,74545.80350637539,586.9555781552185,60863.33123040986,38426.3,298607383.2593044,3503,73350,37149799,243799640225256.56,5593734,68705864,2023-09-14T19:00:20Z
GOA,2017,CENTRAL GOA,30420,296,63,686.469619303833,162272.40163624988,669.5595081221743,148276.5521297705,111880.5,4310468460.904729,0,248441,109126156,3938694411387169.5,0,239664915,2023-09-14T19:00:20Z
GOA,2021,WESTERN GOA,30420,114,24,843.4729318297127,96262.2134521614,829.7751503041032,88632.63904159253,53383.7,385596590.4672314,13698,93069,52516378,355034880176895.9,14435950,90596806,2023-09-14T19:00:20Z
GOA,2021,CENTRAL GOA,30420,292,46,228.770786645537,23285.447400551242,236.00614887654717,26143.686945598896,37286.5,618535164.3659306,0,89763,38465197,694459050919701.6,0,94069164,2023-09-14T19:00:20Z
GOA,2019,EASTERN GOA,30420,121,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-09-14T19:00:20Z
