"","obs","pred"
"1",800,825.131
"2",3250,3304.64
"3",6815,6975.28
"4",12170,12781.9
"5",17430,19053.1
"6",10040,10484.6
"7",6000,6121.1
"8",5010,5077.35
"9",3630,3653.38
"10",2245,2255.88
"11",3875,3897.07
"12",3880,3904.56
"13",2820,2833.05
"14",2550,2560.54
"15",2520,2528.27
"16",2275,2280.98
"17",622,634.39
"18",554,555.347
"19",670,671.539
"20",810,811.676
"21",1477,1478.43
"22",3920,3916.03
"23",3618,3614.91
"24",1002,1003.43
"25",185,186.042
"26",248,249.286
"27",483,484.813
"28",1107,1108.85
"29",1527,1528.21
"30",1716,1716.71
"31",4528,4511.04
"32",7770,7717.82
"33",4820,4801.59
"34",5966,5935.72
"35",5635,5607.95
"36",3340,3334.32
"37",2935,2931.34
"38",3055,3050.45
"39",5409,5384.15
"40",3333,3325.88
"41",3133,3127.58
"42",3339,3331.76
"43",5256,5229.71
"44",4811,4790.57
"45",4522,4506.22
"46",4958,4939.28
"47",4187,4177.54
"48",4052,4043.43
"49",3952,3941.77
"50",3902,3891.69
"51",3443,3436.52
"52",5077,5058.25
"53",4879,4865.23
"54",4277,4266.77
"55",3944,3937.03
"56",3437,3432.09
"57",1836,1837.23
"58",2440,2439.97
