"","obs","pred"
"1",800,824.832
"2",3250,3324.44
"3",6815,7093.95
"4",12170,13266.8
"5",17430,20336.9
"6",10040,10823
"7",6000,6218.42
"8",5010,5138.44
"9",3630,3678.03
"10",2245,2259.69
"11",3875,3917.22
"12",3880,3920.74
"13",2820,2837.03
"14",2550,2562.34
"15",2520,2529.71
"16",2275,2281.23
"17",622,632.682
"18",554,555.191
"19",670,671.379
"20",810,811.525
"21",1477,1478.25
"22",3920,3916.13
"23",3618,3614.93
"24",1002,1003.88
"25",185,186.029
"26",248,249.282
"27",483,484.888
"28",1107,1109.38
"29",1527,1529.19
"30",1716,1717.17
"31",4528,4513.61
"32",7770,7728.54
"33",4820.3,4790.07
"34",5966.19,5918.71
"35",5635.4,5593.23
"36",3340.31,3330.09
"37",2935.01,2927.89
"38",3055.45,3047.14
"39",5408.89,5354.95
"40",3333.47,3315.39
"41",3132.77,3123.28
"42",3339.25,3326.62
"43",5256.07,5212.75
"44",4810.79,4778.89
"45",4521.67,4502.32
"46",4957.71,4936.06
"47",4186.65,4182.98
"48",4052.09,4049.79
"49",3951.65,3945.67
"50",3902.36,3896.03
"51",3443.93,3441.87
"52",5077.01,5065.86
"53",4879.28,4879.53
"54",4278.23,4278.66
"55",3944.55,3938.45
"56",3433.99,3429.53
"57",1835.1,1837.15
"58",2358.79,2359.73
"59",2748.16,2750.44
"60",2384.92,2387.12
"61",2376.49,2377.35
"62",1875.74,1877.2
