"","obs","pred"
"1",800,824.849
"2",3250,3293.39
"3",6815,6918.77
"4",12170,12578.1
"5",17430,18574.4
"6",10040,10351.6
"7",6000,6082.77
"8",5010,5058.67
"9",3630,3648.31
"10",2245,2254.25
"11",3875,3891
"12",3880,3896.09
"13",2820,2827.96
"14",2550,2556.42
"15",2520,2524.68
"16",2275,2278.61
"17",622,634.017
"18",554,555.313
"19",670,671.508
"20",810,811.654
"21",1477,1478.37
"22",3920,3915.53
"23",3618,3614.5
"24",1002,1003.98
"25",185,186.056
"26",248,249.31
"27",483,484.923
"28",1107,1109.39
"29",1527,1529.15
"30",1716,1717.83
"31",4528,4517.75
"32",7770,7736.01
"33",4820.3,4809.88
"34",5966.19,5947.94
"35",5635.4,5619.01
"36",3340.31,3336.93
"37",2935.01,2933.11
"38",3055.45,3052.79
"39",5408.89,5391.82
"40",3333.47,3329.37
"41",3132.77,3128.82
"42",3339.25,3333.52
"43",5256.07,5233.37
"44",4810.79,4793.94
"45",4521.67,4506.8
"46",4957.71,4940.37
"47",4186.65,4177.18
"48",4052.09,4043.84
"49",3951.65,3943.61
"50",3902.36,3894.18
"51",3443.93,3438.98
"52",5077.01,5061.28
"53",4879.28,4865.87
"54",4278.23,4268.17
"55",3944.55,3933.96
"56",3433.99,3426.23
"57",1835.1,1835
"58",2358.79,2356.69
"59",2748.16,2745
"60",2384.92,2382.97
"61",2376.49,2375.71
"62",1875.74,1875.91
