"","obs","pred"
"1",800,825.246
"2",3250,3318.93
"3",6815,7055.25
"4",12170,13098
"5",17430,19866.9
"6",10040,10697.2
"7",6000,6177.86
"8",5010,5109.76
"9",3630,3663.86
"10",2245,2255.25
"11",3875,3901.2
"12",3880,3905.18
"13",2820,2829.98
"14",2550,2557.08
"15",2520,2524.91
"16",2275,2277.85
"17",622,632.864
"18",554,555.215
"19",670,671.406
"20",810,811.551
"21",1477,1478.22
"22",3920,3915.37
"23",3618,3614.34
"24",1002,1003.89
"25",185,186.041
"26",248,249.297
"27",483,484.908
"28",1107,1109.38
"29",1527,1529.14
"30",1716,1717.43
"31",4528,4514.8
"32",7770,7731.9
"33",4820.3,4802.74
"34",5966.19,5937.33
"35",5635.4,5609.34
"36",3340.31,3334.54
"37",2935.01,2931.21
"38",3055.45,3050.66
"39",5408.89,5379.36
"40",3333.47,3324.65
"41",3132.77,3126.09
"42",3339.25,3329.48
"43",5256.07,5224.46
"44",4810.79,4788.56
"45",4521.67,4503.99
"46",4957.71,4938.19
"47",4186.65,4178.69
"48",4052.09,4045.79
"49",3951.65,3944.92
"50",3902.36,3895.23
"51",3443.93,3440.06
"52",5077.01,5062.08
"53",4879.28,4869.08
"54",4278.23,4270.34
"55",3944.55,3937.28
"56",3433.99,3428.56
"57",1835.1,1836.17
"58",2358.79,2358.18
"59",2748.16,2747.01
"60",2384.92,2384.41
"61",2376.49,2376.73
"62",1875.74,1876.73
